"Раздел";"Компания";"Клиент";"Телефон";"Статус";"Стендов";"м2";"Сумма";"ID стендов";"Продавец";"Обновлено"
"Напитки";"Amir Tea";"Amir Tea";"";"Продано";"1";"9";"11250000";"J-04";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Напитки";"Bogi Baland";"Bogi Baland";"";"Продано";"1";"9";"11250000";"J-05";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Органика (2)";"ERMAK";"ERMAK";"";"Продано";"4";"36";"45000000";"K-02, K-03, K-04, K-05";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Органика (2)";"OOO PPK";"OOO PPK";"";"Продано";"1";"9";"11250000";"K-01";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Полуфабрикаты";"MEZBON";"MEZBON";"";"Продано";"2";"18";"22500000";"L-01, L-02";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Полуфабрикаты";"Xinjiang Lianfu Food (2)";"Xinjiang Lianfu Food (2)";"";"Продано";"1";"9";"11250000";"L-03";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Напитки (2)";"NEW ENERGY DRINKS KZ";"NEW ENERGY DRINKS KZ";"";"Продано";"1";"9";"11250000";"M-01";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Ингредиенты и компоненты (2)";"Gulf Flavours and Fragrances";"Gulf Flavours and Fragrances";"";"Продано";"1";"9";"11250000";"N-01";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Ингредиенты и компоненты (2)";"Bimak";"Bimak";"";"Продано";"1";"9";"11250000";"N-02";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Ингредиенты и компоненты (2)";"ADMIRAL";"ADMIRAL";"";"Продано";"1";"9";"11250000";"N-03";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Бакалея";"ASLAN TEA";"ASLAN TEA";"";"Продано";"1";"9";"11250000";"O-01";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Бакалея";"SVD-Grupp";"SVD-Grupp";"";"Продано";"1";"9";"11250000";"O-02";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Бакалея";"Real Tea Zone";"Real Tea Zone";"";"Продано";"1";"9";"11250000";"O-03";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Бакалея";"Biana Konfet";"Biana Konfet";"";"Продано";"1";"9";"11250000";"O-04";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Бакалея";"Archan X";"Archan X";"";"Продано";"1";"9";"11250000";"O-05";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Бакалея";"Silver Green Tea";"Silver Green Tea";"";"Продано";"1";"9";"11250000";"O-06";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Бакалея";"Silver Green Tea";"Silver Green Tea";"";"Продано";"1";"9";"11250000";"O-07";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия";"CINDER FRUIT";"CINDER FRUIT";"";"Продано";"1";"9";"11250000";"P-01";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия";"BIO LAB";"BIO LAB";"";"Продано";"1";"9";"11250000";"P-02";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия";"Pisobas";"Pisobas";"";"Продано";"1";"9";"11250000";"P-03";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия";"CINDER FRUIT (2)";"CINDER FRUIT (2)";"";"Продано";"1";"9";"11250000";"P-04";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия";"CINDER FRUIT (2)";"CINDER FRUIT (2)";"";"Продано";"1";"9";"11250000";"P-05";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия и сладости";"Perfumed";"Perfumed";"";"Продано";"1";"9";"11250000";"Q-01";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия и сладости";"Greenway Group";"Greenway Group";"";"Продано";"1";"9";"11250000";"Q-02";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия и сладости";"Dall Foods Group";"Dall Foods Group";"";"Продано";"1";"9";"11250000";"Q-03";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Кондитерские изделия и сладости";"Javohirlar Food & Drink";"Javohirlar Food & Drink";"";"Продано";"1";"9";"11250000";"Q-04";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
