"Bolim";"Blok";"Stend";"Holat";"m2";"Summa";"Kompaniya";"Mijoz";"Telefon";"Sotuvchi";"Yangilangan"
"Bakaleya";"J";"J-04";"Bron";"9";"11250000";"";"Galla Bakaleya Savdosi";"+998 66 233 44 55";"Aziz Karimov";"2026-09-14T09:27:05.658Z"
"Bakaleya";"J";"J-05";"Bron";"9";"11250000";"";"Galla Bakaleya Savdosi";"+998 66 233 44 55";"Aziz Karimov";"2026-09-14T09:27:05.658Z"
"Bakaleya";"J";"J-06";"Bron";"9";"11250000";"";"Galla Bakaleya Savdosi";"+998 66 233 44 55";"Aziz Karimov";"2026-09-14T09:27:05.658Z"
"Qandolat mahsulotlari";"K";"K-05";"Sotilgan";"9";"11250000";"";"Qandolat Olam";"+998 70 610 20 30";"Dilnoza Yusupova";"2026-09-14T09:27:05.659Z"
"Qandolat mahsulotlari";"K";"K-06";"Sotilgan";"9";"11250000";"";"Qandolat Olam";"+998 70 610 20 30";"Dilnoza Yusupova";"2026-09-14T09:27:05.659Z"
"Qandolat mahsulotlari";"K";"K-07";"Sotilgan";"9";"11250000";"";"Qandolat Olam";"+998 70 610 20 30";"Dilnoza Yusupova";"2026-09-14T09:27:05.659Z"
"Qandolat mahsulotlari";"K";"K-08";"Sotilgan";"9";"11250000";"";"Qandolat Olam";"+998 70 610 20 30";"Dilnoza Yusupova";"2026-09-14T09:27:05.659Z"
"Shirinliklar";"L";"L-01";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-02";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-03";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-04";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-05";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-06";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-07";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Shirinliklar";"L";"L-08";"Sotilgan";"9";"11250000";"";"Shirin Ta'm MChJ";"+998 71 244 66 77";"Sardor Umarov";"2026-09-14T09:27:05.661Z"
"Uskunalar va qadoqlash";"EQ-1";"EQ-1-01";"Bron";"9";"11250000";"";"UzPack Equipment";"+998 71 233 88 99";"Aziz Karimov";"2026-09-14T09:27:05.663Z"
"Uskunalar va qadoqlash";"EQ-1";"EQ-1-02";"Bron";"9";"11250000";"";"UzPack Equipment";"+998 71 233 88 99";"Aziz Karimov";"2026-09-14T09:27:05.663Z"
"Uskunalar va qadoqlash";"EQ-1";"EQ-1-03";"Bron";"9";"11250000";"";"UzPack Equipment";"+998 71 233 88 99";"Aziz Karimov";"2026-09-14T09:27:05.663Z"
"Uskunalar va qadoqlash";"EQ-1";"EQ-1-04";"Bron";"9";"11250000";"";"UzPack Equipment";"+998 71 233 88 99";"Aziz Karimov";"2026-09-14T09:27:05.663Z"
"Uskunalar va qadoqlash";"EQ-2";"EQ-2-01";"Sotilgan";"9";"11250000";"";"Konserv Liniya Servis";"+998 74 226 11 22";"Dilnoza Yusupova";"2026-09-14T09:27:05.664Z"
"Uskunalar va qadoqlash";"EQ-2";"EQ-2-02";"Sotilgan";"9";"11250000";"";"Konserv Liniya Servis";"+998 74 226 11 22";"Dilnoza Yusupova";"2026-09-14T09:27:05.664Z"
"Uskunalar va qadoqlash";"EQ-2";"EQ-2-03";"Sotilgan";"9";"11250000";"";"Konserv Liniya Servis";"+998 74 226 11 22";"Dilnoza Yusupova";"2026-09-14T09:27:05.664Z"
"Uskunalar va qadoqlash";"EQ-2";"EQ-2-04";"Sotilgan";"9";"11250000";"";"Konserv Liniya Servis";"+998 74 226 11 22";"Dilnoza Yusupova";"2026-09-14T09:27:05.664Z"
"Chap qanot — A1–A6";"A6";"A6";"Sotilgan";"19.15";"23937500";"";"Milliy Ziravorlar";"+998 71 244 12 12";"Dilnoza Yusupova";"2026-09-14T09:27:05.666Z"
"Chap qanot — A1–A6";"A5";"A5";"Bron";"20.32";"25400000";"";"Andijon Meva Savdo";"+998 74 223 45 67";"Aziz Karimov";"2026-09-14T09:27:05.668Z"
"Chap qanot — A1–A6";"A4";"A4";"Sotilgan";"22.67";"28337500.000000004";"";"Samarqand Non Zavodi";"+998 66 233 78 90";"Sardor Umarov";"2026-09-14T09:27:05.669Z"
"Chap qanot — A1–A6";"A2";"A2";"Bron";"26.23";"32787500";"";"Qarshi Sifat Sut";"+998 75 221 33 55";"Aziz Karimov";"2026-09-14T09:27:05.671Z"
