"Раздел";"Блок";"Стенд";"м2"
"Напитки (2)";"M";"M-07";"9"
"Напитки (2)";"M";"M-08";"9"
"Ингредиенты и компоненты (2)";"N";"N-02";"9"
"Ингредиенты и компоненты (2)";"N";"N-04";"9"
"Ингредиенты и компоненты (2)";"N";"N-06";"9"
"Ингредиенты и компоненты (2)";"N";"N-07";"9"
"Ингредиенты и компоненты (2)";"N";"N-08";"9"
"Бакалея";"O";"O-08";"9"
"Кондитерские изделия";"P";"P-04";"9"
"Кондитерские изделия";"P";"P-06";"9"
"Кондитерские изделия";"P";"P-08";"9"
"Кондитерские изделия и сладости";"Q";"Q-02";"9"
"Кондитерские изделия и сладости";"Q";"Q-04";"9"
"Кондитерские изделия и сладости";"Q";"Q-06";"9"
"Кондитерские изделия и сладости";"Q";"Q-08";"9"
"Прочие экспоненты";"R";"R-01";"9"
"Прочие экспоненты";"R";"R-02";"9"
"Прочие экспоненты";"R";"R-03";"9"
"Прочие экспоненты";"R";"R-04";"9"
"Прочие экспоненты";"R";"R-05";"9"
"Прочие экспоненты";"R";"R-06";"9"
"Прочие экспоненты";"R";"R-07";"9"
"Прочие экспоненты";"R";"R-08";"9"
"Оборудование";"EQ-H";"EQ-H-01";"9"
"Оборудование";"EQ-H";"EQ-H-02";"9"
"Оборудование";"EQ-H";"EQ-H-03";"9"
"Оборудование";"EQ-H";"EQ-H-04";"9"
"Оборудование";"EQ-H";"EQ-H-05";"9"
"Оборудование";"EQ-H";"EQ-H-06";"9"
"Оборудование";"EQ-H";"EQ-H-07";"9"
"Оборудование";"EQ-H";"EQ-H-08";"9"
"Консервные линии";"EQ-W";"EQ-W-01";"9"
"Консервные линии";"EQ-W";"EQ-W-02";"9"
"Консервные линии";"EQ-W";"EQ-W-03";"9"
"Консервные линии";"EQ-W";"EQ-W-04";"9"
"Консервные линии";"EQ-W";"EQ-W-05";"9"
"Консервные линии";"EQ-W";"EQ-W-06";"9"
"Консервные линии";"EQ-W";"EQ-W-07";"9"
"Консервные линии";"EQ-W";"EQ-W-08";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-01";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-02";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-03";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-04";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-05";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-06";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-07";"9"
"Вендинговые аппараты, упаковка и фасовка";"EQ-X";"EQ-X-08";"9"
"Левое крыло — A1–A6";"A6";"A6";"19.15"
"Левое крыло — A1–A6";"A5";"A5";"20.32"
"Левое крыло — A1–A6";"A4";"A4";"22.67"
"Левое крыло — A1–A6";"A3";"A3";"25.4"
"Левое крыло — A1–A6";"A2";"A2";"26.23"
"Левое крыло — A1–A6";"A1";"A1";"27.41"
